8.02	0:0
8.41	0:5
8.51	0:10
8.31	0:15
8.27	0:20
8.05	0:25
7.62	0:30
7.62	0:35
7.91	0:40
8.43	0:45
8.76	0:50
8.88	0:55
8.85	1:0
8.83	1:5
8.66	1:10
8.66	1:15
8.7	1:20
8.81	1:25
8.84	1:30
8.94	1:35
8.94	1:40
8.86	1:45
8.99	1:50
9.05	1:55
9.23	2:0
9.49	2:5
9.5	2:10
9.35	2:15
9.47	2:20
9.63	2:25
9.67	2:30
9.68	2:35
9.9	2:40
9.91	2:45
9.51	2:50
9.67	2:55
9.59	3:0
9.15	3:5
8.91	3:10
9.04	3:15
9.43	3:20
9.17	3:25
8.71	3:30
8.55	3:35
8.4	3:40
8.3	3:45
8.13	3:50
8.1	3:55
8.14	4:0
8.06	4:5
7.95	4:10
7.74	4:15
7.57	4:20
7.66	4:25
7.71	4:30
7.56	4:35
7.29	4:40
7.15	4:45
7.02	4:50
7.04	4:55
7.03	5:0
7.15	5:5
7.26	5:10
7.34	5:15
7.35	5:20
7.41	5:25
7.48	5:30
7.38	5:35
7.21	5:40
7.16	5:45
7.03	5:50
6.87	5:55
6.77	6:0
6.7	6:5
6.61	6:10
6.51	6:15
6.21	6:20
5.89	6:25
5.83	6:30
5.76	6:35
5.9	6:40
5.97	6:45
5.88	6:50
5.94	6:55
5.84	7:0
5.76	7:5
5.75	7:10
5.76	7:15
5.73	7:20
5.69	7:25
5.53	7:30
5.57	7:35
5.43	7:40
5.32	7:45
5.36	7:50
5.4	7:55
5.31	8:0
5.28	8:5
5.32	8:10
5.29	8:15
5.33	8:20
5.37	8:25
5.43	8:30
5.28	8:35
5.21	8:40
5.21	8:45
5.24	8:50
5.25	8:55
5.16	9:0
5.12	9:5
5.04	9:10
5.01	9:15
5.12	9:20
5.11	9:25
4.9	9:30
4.86	9:35
4.9	9:40
4.97	9:45
4.99	9:50
4.9	9:55
4.93	10:0
4.89	10:5
4.93	10:10
5.0	10:15
4.9	10:20
4.8	10:25
4.84	10:30
4.9	10:35
4.86	10:40
4.76	10:45
4.61	10:50
4.5	10:55
4.41	11:0
4.4	11:5
4.32	11:10
4.17	11:15
4.3	11:20
4.47	11:25
4.5	11:30
4.51	11:35
4.33	11:40
4.33	11:45
4.58	11:50
4.54	11:55
4.6	12:0
4.67	12:5
4.66	12:10
4.55	12:15
4.43	12:20
4.44	12:25
4.39	12:30
4.4	12:35
4.4	12:40
4.31	12:45
4.26	12:50
4.29	12:55
4.26	13:0
4.27	13:5
4.3	13:10
4.32	13:15
4.39	13:20
4.45	13:25
4.5	13:30
4.48	13:35
4.43	13:40
4.33	13:45
4.41	13:50
4.58	13:55
4.63	14:0
4.63	14:5
4.74	14:10
4.86	14:15
4.97	14:20
4.96	14:25
4.94	14:30
4.78	14:35
4.63	14:40
4.64	14:45
4.67	14:50
4.43	14:55
4.38	15:0
4.32	15:5
4.25	15:10
4.16	15:15
4.26	15:20
4.28	15:25
4.34	15:30
4.37	15:35
4.33	15:40
4.43	15:45
4.39	15:50
4.33	15:55
4.37	16:0
4.31	16:5
4.3	16:10
4.24	16:15
4.17	16:20
4.13	16:25
4.07	16:30
3.95	16:35
3.9	16:40
3.9	16:45
3.92	16:50
3.93	16:55
3.97	17:0
3.93	17:5
3.9	17:10
3.87	17:15
3.74	17:20
3.62	17:25
3.49	17:30
3.36	17:35
3.21	17:40
3.17	17:45
3.02	17:50
3.12	17:55
3.07	18:0
2.9	18:5
2.81	18:10
2.8	18:15
2.64	18:20
2.53	18:25
2.54	18:30
2.49	18:35
2.26	18:40
2.21	18:45
2.41	18:50
2.56	18:55
2.62	19:0
2.54	19:5
2.14	19:10
2.22	19:15
2.18	19:20
2.12	19:25
2.31	19:30
2.42	19:35
2.47	19:40
2.55	19:45
2.65	19:50
2.76	19:55
2.81	20:0
2.83	20:5
2.84	20:10
2.83	20:15
2.84	20:20
2.88	20:25
2.96	20:30
2.96	20:35
2.97	20:40
3.03	20:45
3.05	20:50
3.07	20:55
3.16	21:0
3.2	21:5
3.23	21:10
3.29	21:15
3.3	21:20
3.34	21:25
3.36	21:30
3.36	21:35
3.36	21:40
3.36	21:45
3.31	21:50
3.3	21:55
3.28	22:0
3.36	22:5
3.36	22:10
3.36	22:15
3.43	22:20
3.49	22:25
3.5	22:30
3.52	22:35
3.66	22:40
3.8	22:45
3.94	22:50
4.02	22:55
4.06	23:0
4.2	23:5
4.34	23:10
4.3	23:15
4.35	23:20
4.38	23:25
4.45	23:30
4.53	23:35
4.57	23:40
4.56	23:45
4.59	23:50
4.71	23:55
